date,momentum,beta,market_cap,vol10
2014-01-03,0.00012708629430348273,3.392248752454937e-05,0.00028021644213799724,0.0003965839148821017
2014-01-10,0.0002433330713032517,1.761001793459696e-05,0.0002373789704840702,0.00027875152856446915
2014-01-17,0.00024253052922915233,7.683582954216083e-05,0.0003180740305430403,0.0002703092813343428
2014-01-24,0.00022714067465815594,0.00016736144176607312,0.0003175401689827437,0.0001875514667565575
2014-01-31,0.0002881279995537491,0.00015321966606019253,0.00030787462491510206,0.00015625136660001425
2014-02-07,0.00016303196486578927,9.812877817090204e-05,0.0003098756956083131,0.0001487440841795187
2014-02-14,0.0002719035400289349,0.00012917591980609819,0.0002989501755599989,0.0001397775841879215
2014-02-21,0.00027001604885613917,8.996282198348527e-05,0.0003069229584802255,0.00011911092712890788
2014-02-28,0.00013273538072432442,7.565943064511867e-05,0.0002929397609728311,5.032946053674276e-05
2014-03-07,0.00010468299808827003,0.00012888467418530682,0.00032665770336931093,9.73378057987638e-05
2014-03-14,5.674954215220832e-05,0.00017139386954930188,0.0002947609738493656,3.056495740510225e-05
2014-03-21,4.664136365695823e-05,0.00023386124140023317,0.0002907264317248037,3.6625162911382724e-05
2014-03-28,-1.2635481726302101e-05,0.00023333327227535426,0.00027690049103426756,4.9539642825634175e-05
2014-04-04,-5.452255245522326e-05,0.00019878760119727747,0.0002881062374016879,4.597949169377566e-05
2014-04-11,-8.450295821784613e-05,0.00019866431711394449,0.000262430204401842,7.879451876600917e-05
2014-04-18,-6.153261881947898e-05,0.00017489725035031145,0.00027691606932916257,0.00010647971528266241
2014-04-25,-0.0002341163745696755,0.00016256545967515955,0.000251515614970172,7.401461115189889e-05
2014-05-02,-0.000266033229837395,9.608571517806863e-05,0.00026462574230626815,7.662168507886611e-05
2014-05-09,-0.00028902701516508904,0.00016122949858191865,0.00025882883495210177,7.47484494358135e-05
2014-05-16,-0.0002933226372985808,0.00019326752367276537,0.0002250754352651193,0.0001340842854358996
2014-05-23,-0.0003849155439121888,0.00017069646810657907,0.00017469101789484838,0.00015232095825926494
2014-05-30,-0.0003004235892652567,0.00015543973871450003,0.00023353364813350584,0.00019544122945723175
2014-06-06,-0.0003639284053791671,0.0001395324481198341,0.00021068635469962817,0.00020154665636552523
2014-06-13,-0.0003867972549303373,-2.2282959098237148e-05,0.00016866870613862803,0.0002294857865516607
2014-06-20,-0.0004398738244528458,-8.25222336761792e-05,0.00018053706121858883,0.00024203814656189058
2014-06-27,-0.0003867716945570233,4.2622145192936504e-05,0.00018356455077399184,0.000247790823352529
2014-07-04,-0.0004996024382062116,4.661820347661191e-05,0.00020284789200020534,0.0002454268804502577
2014-07-11,-0.00039165414105377507,8.385362218416467e-05,0.00020997239831591655,0.00017122471444476096
2014-07-18,-0.00023025881473412094,1.0583522098401421e-05,0.00024962014986486193,0.00018766984230311203
2014-07-25,-0.0003264268429465237,6.224192883035625e-05,0.0002203540248201031,0.00012910723579152893
2014-08-01,-0.00041437551928382875,4.901357058851061e-05,0.00019105270769408363,0.00018295842279859268
2014-08-08,-0.00024291954321676174,1.0135098020053454e-05,0.0002606417136817396,0.00024622685782974365
2014-08-15,-0.0002318518749499071,4.9495999419507344e-05,0.0002611382624960554,0.00023367751670923964
2014-08-22,-0.00029358240080318255,6.447572995463461e-05,0.0002616191079678156,0.00023373762421474497
2014-08-29,-0.000356449931642436,-1.9250398882374342e-05,0.0002525932277698744,0.00022924846961284732
2014-09-05,-0.000233728299694822,-9.606443731392354e-07,0.00030433796094145223,0.000288150779419007
2014-09-12,-0.00020014360564076468,5.216591010945957e-06,0.0003266414267829806,0.000334650664189173
2014-09-19,-0.00030751480744569255,-3.155055682243568e-05,0.00029331837093092875,0.00032623794389190143
2014-09-26,-0.0004046372869222828,-6.52335600910276e-05,0.00028393133263797545,0.00032118288724439367
2014-10-03,-0.0004684612979652912,-4.996429174958224e-05,0.00034103538695301765,0.00033363848149407446
2014-10-10,-0.00041970488713034143,-0.0001397565836641398,0.00031572550353997116,0.0002331568137189798
2014-10-17,-0.0004949804855631239,-0.00018010771383428881,0.0002917794286612617,0.000273396212733003
2014-10-24,-0.00041981681489909904,-0.00013038269406010546,0.00022515333543634034,0.00028774043051949005
2014-10-31,-0.000332545878948784,-0.00013063301853188128,0.00025075322559791946,0.00033393352970607855
2014-11-07,-0.00027815158736724255,-0.0001802185199943558,0.0002712823136341614,0.0003306840332660352
2014-11-14,-0.00019754100613930735,-0.0001234923745544853,0.0002582077984484436,0.0003554628086925286
2014-11-21,-0.00022093005361086205,-0.00011234991034288695,0.00019901539588536608,0.0002660012862443295
2014-11-28,0.00014222548284680757,-0.00012580401433531297,0.00019626248950780349,0.00027036422817532503
2014-12-05,0.00026777752923874074,-0.00016429968665449644,0.00015947164250534838,0.0002305798305978018
2014-12-12,0.00038669744688702855,-0.00021532798763028484,0.00014592654075358161,0.00018400207304538143
2014-12-19,0.00024325899816981654,-0.00022995523839827354,0.0001123595810683085,0.00018025722107717606
2014-12-26,0.0002532421409545133,-0.00025989531092951527,0.00010549309011647906,0.00016882870828912572
2015-01-02,0.00021706159164847303,-0.0002748963287667156,9.98155753886588e-05,0.00018195715618112826
2015-01-09,0.0005102618920444571,-0.00023544831993899592,7.515465000434509e-05,0.00015251473965524018
2015-01-16,0.0005168214624459491,-0.00024061893816074324,6.349923431169172e-05,0.00012018892555111624
2015-01-23,0.0005409136127188353,-0.0002818914188879631,3.7220940052348016e-05,8.89071119015143e-05
2015-01-30,0.0005230189407133995,-0.0002403642581320568,-8.456002779868504e-06,0.00011290574451081734
2015-02-06,0.0003480960532410517,-0.0001918559160084297,3.090022598457107e-05,6.46957075070698e-05
2015-02-13,0.0003561117124893646,-0.00016094769194271904,6.243917748382155e-05,5.463085131472847e-05
2015-02-20,0.0004713919736386968,-0.00015063822249468522,4.8471544437816476e-05,8.866148128711583e-05
2015-02-27,0.00047417173082365513,-3.518042086625942e-05,1.5991885756353145e-05,8.727947319407046e-05
2015-03-06,0.0005500842780344327,-9.715388052760361e-05,1.0165094818708168e-05,9.353826894095228e-05
2015-03-13,0.0007217761260819079,-0.0001397820534775146,-2.144952066256361e-05,7.28987842848741e-05
2015-03-20,0.0007680910191250168,-0.000142162794103362,-2.2570462793927667e-05,0.00011099110683738271
2015-03-27,0.0006585369802113536,-9.98592925873169e-05,-8.1405573303854e-05,6.665013439920508e-05
2015-04-03,0.0007697631781966008,-6.111788437126378e-05,-0.00012136499587313951,5.372974856496844e-05
2015-04-10,0.0007666439282705798,-6.024594311451168e-05,-0.00013862708898837082,6.859206171850816e-05
2015-04-17,0.000639041720902439,-0.00010230165163991838,-0.00013795606350610427,0.00010893027671036838
2015-04-24,0.0007614543166156595,-8.671214100092152e-05,-0.0001291493912650005,8.76852123793915e-05
2015-05-01,0.0004966014834524164,-7.368157032661443e-05,-0.00014709010453717468,6.222278594730903e-05
2015-05-08,0.0005575130590941104,-7.095347562860334e-05,-0.0001392262886955139,-5.392229959758527e-07
2015-05-15,0.0005875061263642212,1.3793717922637309e-05,-0.0002126673065725855,-7.103800305592032e-05
2015-05-22,0.0007520845046766954,-2.4796643158195722e-05,-0.00021176903941503664,-6.672037464273323e-05
2015-05-29,0.0008759841006338909,-4.3022808151875006e-05,-0.00020050243242205107,-9.235245294242023e-06
2015-06-05,0.0008848793123972162,-1.6383990771246125e-05,-0.0002426202321474828,-0.00011477920675845453
2015-06-12,0.0008880291289339547,1.335113343664473e-05,-0.0002753565234294449,-0.00015446923258203652
2015-06-19,0.0009624259109900207,-3.4204953925763155e-05,-0.00027688367958225214,-0.00012964624434895247
2015-06-26,0.0008893819544972139,-4.271033477879151e-05,-0.00029240224207647083,-0.0001421330069038736
2015-07-03,0.0008383428965122468,-3.9252628144655725e-05,-0.0002813152369374445,-0.00016314912233282344
2015-07-10,0.0008031364747936981,-4.185360357940952e-05,-0.00034347928783740343,-0.00015976399838684514
2015-07-17,0.0010036466163515882,4.476360154239023e-05,-0.0003632342309957241,-0.00014118295541075233
2015-07-24,0.0009529789541009082,-7.771530392014538e-06,-0.0003159985865142687,-0.00011642183370890984
2015-07-31,0.0008084875021474719,3.2526616899201644e-05,-0.0004171604418175926,-0.0001558152949274851
2015-08-07,0.0008554320459710191,4.263911790194569e-05,-0.00038980450070722476,-0.00017503375088755976
2015-08-14,0.0008689311874282506,7.438254904382675e-05,-0.0004137955404883243,-0.000153990072373441
2015-08-21,0.0008005361304416855,0.00012104828431093234,-0.0004063938907600956,-0.00016208885356793745
2015-08-28,0.0008208219960639854,0.00010298650937153916,-0.0003634932503463407,-0.00014542465564705242
2015-09-04,0.0007562166777497571,0.00011719651486801863,-0.00034607719810452505,-5.748316241467007e-05
2015-09-11,0.0008426240057058237,0.00015990080602820768,-0.0003703817933556483,-0.0001914667458977859
2015-09-18,0.0008480905828645012,0.00012335032351586402,-0.00035875407771611737,-0.00014471630277103635
2015-09-25,0.0008246831080950903,0.00015592248855269194,-0.00042694034531159757,-0.00015308768615742983
2015-10-02,0.0008258242402405512,0.00011400050180458395,-0.000423168697619595,-0.0001685149624572906
2015-10-09,0.0005258696267319775,-5.7955279377873276e-05,-0.00044229925329313115,-0.00013519621979676187
2015-10-16,0.000565161777584721,-8.541183320951028e-05,-0.00042901091438608726,-6.136872974520036e-05
2015-10-23,0.0007145089358489878,-0.00012549556165324284,-0.00043515139862017,-3.0962482351060724e-05
2015-10-30,0.000892444676335547,-9.306661594836194e-05,-0.0004161370275529192,-4.863285381676886e-05
2015-11-06,0.0009044482487495549,-0.00016250585521684509,-0.00046325646909230525,-8.650967147505627e-05
2015-11-13,0.001015672085824666,-0.0003189217880909736,-0.000444811171017625,-5.368942347434205e-05
2015-11-20,0.0010460800081186813,-0.00028382454432037205,-0.00031076904749831346,4.3015659240012013e-05
2015-11-27,0.001002024635392811,-0.0002795841691692019,-0.00027429313760440183,1.9335715395242788e-05
2015-12-04,0.00100582006129646,-0.0002751638297728259,-0.0002743444264727133,-2.424463662132645e-07
2015-12-11,0.0010717434838954472,-0.00017593929679129042,-0.00032358974795985453,2.9506452508824948e-05
2015-12-18,0.0011012279929595626,-0.00017064723471104694,-0.00031714871185407737,9.809871483985544e-05
2015-12-25,0.0009906442835973183,-0.0001584398197876312,-0.000371020192496914,4.8590552151446513e-05
2016-01-01,0.00106393602174914,-0.00019111842178752856,-0.00036559674028428444,6.291711881236614e-05
2016-01-08,0.001175106495836994,-0.0002568817822197633,-0.00042533397784940585,0.00015533376322408773
2016-01-15,0.001323332811307558,-0.00020015437133920458,-0.00041961891249755985,0.000110354918327088
2016-01-22,0.0013053233154540706,-0.0002254947471890488,-0.0004013188191163983,0.0001463114817504996
2016-01-29,0.0013256900411777813,-0.00018856745527086167,-0.0003884566836484608,0.00010471243656463073
2016-02-05,0.0012416174530004824,-0.00020081627324503124,-0.0003582060906365655,0.00010545795533470752
2016-02-12,0.0012412371566137097,-0.00013384473682537541,-0.0003527938927088232,5.7759631389786e-05
2016-02-19,0.0011947482894088196,-9.61146415182323e-05,-0.00034898177819171755,6.590113890846168e-05
2016-02-26,0.001201082300523101,-0.00010168976366591603,-0.00034357633595532915,0.00012607983206490458
2016-03-04,0.0010207410073470274,-0.00010445257109331953,-0.00036082347326686474,7.798463669511882e-05
2016-03-11,0.0010825680031861617,-0.00011325339637437704,-0.00034676599980661957,8.181054193321062e-05
2016-03-18,0.0012068768341648257,-9.834620692134074e-05,-0.00033175038752385547,4.733694555399849e-05
2016-03-25,0.0013129813263807653,-0.0001385842457087461,-0.000334360767290979,5.5052495202534605e-05
2016-04-01,0.0012837097351706924,-9.401557044588846e-05,-0.0003478706341168719,3.36810910145103e-05
2016-04-08,0.0012930156898820753,-8.383145127391046e-05,-0.0003768927387328235,-5.323155539051087e-05
2016-04-15,0.0012555820010812567,-5.966914912486643e-05,-0.0003539530889150354,-5.502956128667278e-06
2016-04-22,0.0011787122923213064,-2.2573262562755933e-05,-0.00035421532939568446,3.3864167188925545e-05
2016-04-29,0.0013199129085759884,3.852449601013646e-05,-0.0003539939471290706,8.100649596682215e-05
2016-05-06,0.0015098886214592333,-2.1102578617494693e-05,-0.0003302283200993974,0.00014734875020394925
2016-05-13,0.0015099500460735759,1.9670585312394297e-06,-0.00031290738221532473,0.00010163274234279054
2016-05-20,0.00128717777188866,3.172046144924302e-05,-0.00030311932344966904,6.712929054324329e-05
2016-05-27,0.0011591362025834828,7.71464906991323e-05,-0.00037570050702302857,5.921603164798642e-05
2016-06-03,0.0011894200406201367,0.0001143976493309202,-0.00031820662786639074,9.797765531815184e-05
2016-06-10,0.0013499707935805756,0.00027162741379473993,-0.00034148917659157323,6.653311548052126e-05
2016-06-17,0.0015020159904289827,0.00026093684445396804,-0.00034360973861006193,1.691826559103271e-05
2016-06-24,0.0015583553431304446,0.00013001706494835075,-0.00030653268856141094,7.508234023292773e-05
2016-07-01,0.001590626755752372,7.79063675949024e-05,-0.0002757490322239573,0.0001879186899466409
2016-07-08,0.0013422001309777378,0.000126073842238758,-0.0002819970224553762,0.0001669355592999313
2016-07-15,0.0012458264826552023,0.0001765490441072658,-0.00028780234219821126,0.00016891063617863373
2016-07-22,0.0013248977323826916,0.0002886728603781749,-0.00024267271087568678,9.577178925923977e-05
2016-07-29,0.0014160989194858102,0.00036463129138864615,-0.00020447572147549043,0.00010301558517626847
2016-08-05,0.00135653884081757,0.0003030651690613234,-0.0002872700109246904,9.886125392740204e-05
2016-08-12,0.0013767886574896498,0.0003247353679224143,-0.0002966825486198565,0.00010128107543151189
2016-08-19,0.0013284831089151435,0.00036250024381865025,-0.00027608902098046767,0.0001498144101732429
2016-08-26,0.0012769474941096927,0.000502499675458645,-0.00024255911159327612,0.00018262871598135648
2016-09-02,0.0013016427235620562,0.0004775835233720225,-0.00027872365561495684,0.00016585691456732268
2016-09-09,0.0013627868890932625,0.00044414583579463143,-0.00033840602991182646,0.00016251189490168593
2016-09-16,0.0014303439013670489,0.00047757360961348265,-0.00030186386909688336,0.000267710370237497
2016-09-23,0.0015130275565388113,0.0004878176822097623,-0.00030838411372800486,0.0002735864924604945
2016-09-30,0.0014576519428493363,0.0005644358711271027,-0.0003091571141330836,0.00018904446827764035
2016-10-07,0.001424726643364694,0.0006632689962563608,-0.00024616862195851855,0.00030288297030350706
2016-10-14,0.0014176662803600767,0.0007832642448313353,-0.0001713578620906896,0.00027018457253151983
2016-10-21,0.0012993965782040638,0.0007306273177233636,-0.00010511582252497765,0.0003028070930352853
2016-10-28,0.0011432676896533536,0.0007386135651016854,-0.00012779806772025381,0.0002871964417687777
2016-11-04,0.0010251606988888693,0.0007980704021902379,-0.00011544311884720522,0.0003023575210805225
2016-11-11,0.0011064848765591168,0.000760259098871241,-9.00306204696673e-05,0.00023505330382113471
2016-11-18,0.0011381612547313588,0.0007386223339225781,-5.425605257413926e-05,0.00028979722778566094
2016-11-25,0.0009083104220429372,0.0007277061213753429,-3.122027646370535e-05,0.00027792089486710535
2016-12-02,0.0007068676805802091,0.0006738904179759374,-2.3381669152910943e-05,0.00029281967734659726
2016-12-09,0.0005407602173402393,0.0007257995491082999,4.639293842633753e-06,0.00037650039243207446
2016-12-16,0.0006847688981852888,0.0007370310985072482,2.0699139382191972e-05,0.0003466452863478618
2016-12-23,0.000697297442488531,0.0007679186913873247,3.335611788459352e-05,0.0004504887124237545
2016-12-30,0.0006503637974899382,0.0007479750864741098,3.354181654648531e-05,0.0004749732850151898
